index,Location_Center_X,Location_Center_Y,Metadata_Site,Metadata_Timepoint,Metadata_Well,track_id,unique_id,unique_time,Location_Center_Y_Zeroed,Location_Center_X_Zeroed,Classifier,flags
36,462.0896226,66.64150943,244,37,B3,1,WB3_S0244_E1,WB3_S0244_E1_T37,-3.40186406,-5.021220732,C,None
37,460.7938389,65.90995261,244,38,B3,1,WB3_S0244_E1,WB3_S0244_E1_T38,-4.133420887,-6.317004511,C,None
38,461.7325,66.4625,244,39,B3,1,WB3_S0244_E1,WB3_S0244_E1_T39,-3.580873494,-5.378343373,C,None
39,463.2137592,64.45700246,244,40,B3,1,WB3_S0244_E1,WB3_S0244_E1_T40,-5.586371037,-3.89708416,C,None
40,466.00978,61.89731051,244,41,B3,1,WB3_S0244_E1,WB3_S0244_E1_T41,-8.146062981,-1.101063422,C,None
41,468.4591346,62.06730769,244,42,B3,1,WB3_S0244_E1,WB3_S0244_E1_T42,-7.976065802,1.348291242,C,None
42,467.285,63.6975,244,43,B3,1,WB3_S0244_E1,WB3_S0244_E1_T43,-6.345873494,0.174156627,C,None
43,465.4439024,66.16341463,244,44,B3,1,WB3_S0244_E1,WB3_S0244_E1_T44,-3.87995886,-1.666940934,C,None
44,464.789604,65.96287129,244,45,B3,1,WB3_S0244_E1,WB3_S0244_E1_T45,-4.080502207,-2.321239413,C,None
45,469.8038741,64.72154964,244,46,B3,1,WB3_S0244_E1,WB3_S0244_E1_T46,-5.321823857,2.693030719,C,None
46,471.1380145,62.59564165,244,47,B3,1,WB3_S0244_E1,WB3_S0244_E1_T47,-7.447731847,4.027171154,C,None
47,469.0823245,64.89830508,244,48,B3,1,WB3_S0244_E1,WB3_S0244_E1_T48,-5.145068409,1.971481082,C,None
48,466.6398104,63.80331754,244,49,B3,1,WB3_S0244_E1,WB3_S0244_E1_T49,-6.240055958,-0.471032947,C,None
49,468.1709602,62.4028103,244,50,B3,1,WB3_S0244_E1,WB3_S0244_E1_T50,-7.64056319,1.060116814,C,None
50,468.0164706,62.22588235,244,51,B3,1,WB3_S0244_E1,WB3_S0244_E1_T51,-7.817491141,0.905627215,C,None
51,466.9119048,67.24285714,244,52,B3,1,WB3_S0244_E1,WB3_S0244_E1_T52,-2.800516351,-0.198938612,C,None
52,464.0551559,68.87529976,244,53,B3,1,WB3_S0244_E1,WB3_S0244_E1_T53,-1.168073734,-3.055687498,C,None
53,463.1976471,66.35764706,244,54,B3,1,WB3_S0244_E1,WB3_S0244_E1_T54,-3.685726435,-3.913196315,C,None
54,225.0327198,459.9018405,244,1,B3,2,WB3_S0244_E2,WB3_S0244_E2_T1,0,0,C,None
55,223.5060976,458.1890244,244,2,B3,2,WB3_S0244_E2,WB3_S0244_E2_T2,-1.712816101,-1.526622275,C,None
56,225.3066132,459.1282565,244,3,B3,2,WB3_S0244_E2,WB3_S0244_E2_T3,-0.773583978,0.27389339,C,None
57,231.0594059,465.3960396,244,4,B3,2,WB3_S0244_E2,WB3_S0244_E2_T4,5.494199113,6.026686104,C,None
58,233.0714286,466.3265306,244,5,B3,2,WB3_S0244_E2,WB3_S0244_E2_T5,6.424690121,8.038708735,C,None
59,234.044898,473.2795918,244,6,B3,2,WB3_S0244_E2,WB3_S0244_E2_T6,13.37775135,9.012178123,C,None
60,237.6926148,480.9820359,244,7,B3,2,WB3_S0244_E2,WB3_S0244_E2_T7,21.08019544,12.65989493,C,None
61,238.248996,485.7108434,244,8,B3,2,WB3_S0244_E2,WB3_S0244_E2_T8,25.80900288,13.21627615,C,None
62,234.8694818,492.6928983,244,9,B3,2,WB3_S0244_E2,WB3_S0244_E2_T9,32.79105778,9.836761929,C,None
63,234.5196262,499.9065421,244,10,B3,2,WB3_S0244_E2,WB3_S0244_E2_T10,40.00470157,9.486906332,C,None
64,236.732342,506.7825279,244,11,B3,2,WB3_S0244_E2,WB3_S0244_E2_T11,46.88068739,11.69962217,C,None
65,238.6363636,511.4185606,244,12,B3,2,WB3_S0244_E2,WB3_S0244_E2_T12,51.51672012,13.6036438,C,None
66,243.3740458,513.2709924,244,13,B3,2,WB3_S0244_E2,WB3_S0244_E2_T13,53.36915188,18.34132597,C,None
67,249.8869396,511.5087719,244,14,B3,2,WB3_S0244_E2,WB3_S0244_E2_T14,51.60693144,24.85421973,C,None
68,254.5976096,512.5697211,244,15,B3,2,WB3_S0244_E2,WB3_S0244_E2_T15,52.66788062,29.56488973,C,None
69,256.9714286,511.6590476,244,16,B3,2,WB3_S0244_E2,WB3_S0244_E2_T16,51.75720713,31.93870874,C,None
70,260.7969925,511.5996241,244,17,B3,2,WB3_S0244_E2,WB3_S0244_E2_T17,51.69778357,35.76427264,C,None
71,265.9497207,512.9366853,244,18,B3,2,WB3_S0244_E2,WB3_S0244_E2_T18,53.0348448,40.91700083,C,None
